benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,5.6599,0.0310,89.11,0.20,5.0438,0.0298,1.00,0.00,11.8293,0.0350,94.71,0.07,11.2036,0.0343,2.22,0.01,4.3469,0.0151,85.69,0.21,3.7251,0.0158,0.74,0.01,4.3677,0.0230,85.93,0.27,3.7531,0.0230,0.74,0.01
crc32,2.3364,0.0253,12.34,0.30,0.2882,0.0077,1.00,0.00,2.6821,0.0088,24.25,0.59,0.6504,0.0159,2.26,0.08,2.3957,0.0188,14.79,0.41,0.3543,0.0102,1.23,0.05,2.4579,0.0119,17.05,0.36,0.4192,0.0092,1.45,0.05
rijndael-encode,1.5756,0.0396,61.27,0.67,0.9654,0.0264,1.00,0.00,4.9010,0.0510,86.87,0.54,4.2576,0.0516,4.41,0.13,2.4257,0.0184,74.08,0.75,1.7971,0.0227,1.86,0.06,1.9396,0.0278,67.71,0.79,1.3133,0.0243,1.36,0.04
rijndael-decode,1.6208,0.0071,67.26,0.93,1.0902,0.0157,1.00,0.00,4.7223,0.0817,88.37,0.39,4.1732,0.0745,3.83,0.09,2.2881,0.0094,77.57,1.87,1.7748,0.0434,1.63,0.05,1.8467,0.0201,72.57,1.75,1.3402,0.0354,1.23,0.04
sha,1.1370,0.0334,27.21,0.52,0.3094,0.0109,1.00,0.00,2.1696,0.0363,60.13,0.75,1.3047,0.0272,4.22,0.17,1.3896,0.0287,38.06,1.15,0.5289,0.0194,1.71,0.09,1.2878,0.0317,33.16,0.93,0.4270,0.0160,1.38,0.07
adpcm-encode,0.5342,0.0267,89.49,0.55,0.4781,0.0241,1.00,0.00,1.2696,0.0040,95.94,0.32,1.2180,0.0056,2.55,0.13,0.6020,0.0041,90.84,0.51,0.5469,0.0049,1.14,0.06,0.5908,0.0022,90.81,0.53,0.5365,0.0037,1.12,0.06
adpcm-decode,0.3655,0.0177,89.09,0.80,0.3256,0.0161,1.00,0.00,1.1490,0.0253,96.24,0.17,1.1058,0.0244,3.40,0.18,0.4318,0.0162,90.55,0.77,0.3910,0.0151,1.20,0.08,0.3924,0.0167,89.32,1.67,0.3505,0.0163,1.08,0.07
stringsearch,7.0280,0.0672,22.40,0.32,1.5740,0.0273,1.00,0.00,9.4724,0.1052,43.28,0.30,4.0995,0.0537,2.60,0.06,7.5385,0.8103,25.27,5.81,1.9048,0.4832,1.21,0.31,6.9622,0.0650,22.54,0.34,1.5690,0.0279,1.00,0.02
blowfish-encode,0.7037,0.0063,27.54,0.93,0.1938,0.0068,1.00,0.00,0.9710,0.0157,47.48,0.99,0.4610,0.0122,2.38,0.10,0.8241,0.0159,38.00,1.25,0.3132,0.0119,1.62,0.08,0.7852,0.0230,34.28,0.50,0.2692,0.0088,1.39,0.07
blowfish-decode,0.7074,0.0170,27.78,0.57,0.1965,0.0062,1.00,0.00,0.9826,0.0239,47.15,4.07,0.4633,0.0416,2.36,0.22,0.8216,0.0155,37.84,1.61,0.3109,0.0144,1.58,0.09,0.7740,0.0165,33.97,0.55,0.2629,0.0070,1.34,0.06
basicmath,2.0422,0.0249,2.02,0.18,0.0413,0.0036,1.00,0.00,2.0739,0.0283,3.53,0.16,0.0733,0.0036,1.77,0.18,2.0431,0.0194,2.11,0.12,0.0432,0.0025,1.04,0.11,2.0398,0.0046,2.13,0.10,0.0435,0.0020,1.05,0.10
bitcount,0.4331,0.0211,99.72,0.09,0.4319,0.0211,1.00,0.00,0.6579,0.0031,99.76,0.06,0.6563,0.0031,1.52,0.07,2.0853,0.0080,99.90,0.02,2.0832,0.0080,4.82,0.24,0.5633,0.0023,99.69,0.11,0.5615,0.0023,1.30,0.06
fft-std,7.6720,0.0249,6.64,0.12,0.5093,0.0092,1.00,0.00,8.2204,0.0284,12.71,0.08,1.0446,0.0075,2.05,0.04,7.6726,0.0345,6.78,0.14,0.5204,0.0108,1.02,0.03,7.6528,0.0440,6.71,0.11,0.5131,0.0086,1.01,0.02
fft-inv,4.1133,0.0192,12.94,0.18,0.5323,0.0079,1.00,0.00,4.6798,0.0326,22.94,0.22,1.0737,0.0127,2.02,0.04,4.1292,0.0082,13.20,0.17,0.5452,0.0070,1.02,0.02,4.1137,0.0148,13.05,0.17,0.5370,0.0072,1.01,0.02
