benchmarks,globals,,locals,,abi,
name,x,xsd,x,xsd,x,xsd
dijkstra,1.80,0.00,1.04,0.00,1.03,0.00
crc32,1.28,0.00,1.06,0.00,1.03,0.00
rijndael-enc,1.65,0.00,1.43,0.00,1.19,0.00
rijndael-dec,1.32,0.00,1.20,0.00,1.02,0.00
sha,1.12,0.00,1.08,0.00,1.06,0.00
adpcm-enc,1.14,0.00,1.03,0.00,1.03,0.00
adpcm-dec,1.22,0.00,1.04,0.00,1.04,0.00
stringsearch,1.06,0.00,1.06,0.00,1.06,0.00
blowfish-enc,,,,,,
blowfish-dec,,,,,,
basicmath,1.00,0.00,1.00,0.00,0.99,0.00
bitcount,2.00,0.00,3.11,0.00,1.21,0.00
fft-std,1.08,0.00,1.07,0.00,1.07,0.00
fft-inv,1.09,0.00,1.07,0.00,1.08,0.00
patricia,1.03,0.00,1.00,0.00,1.02,0.00
susan-smooth,1.11,0.00,1.07,0.00,1.06,0.00
susan-edges,1.68,0.00,1.16,0.00,1.13,0.00
susan-corners,1.15,0.00,1.03,0.00,1.00,0.00
lame,1.22,0.00,1.23,0.00,1.15,0.00
geomean,1.26,0.00,1.16,0.00,1.07,0.00
