benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,5.6773,0.0368,89.08,0.22,5.0573,0.0350,1.00,0.00,11.8410,0.0525,94.78,0.10,11.2229,0.0511,2.22,0.02,4.3597,0.0241,85.75,0.21,3.7385,0.0226,0.74,0.01,4.3579,0.0218,85.72,0.20,3.7358,0.0206,0.74,0.01
crc32,2.3269,0.0038,12.48,0.39,0.2905,0.0090,1.00,0.00,2.6832,0.0094,24.16,0.43,0.6483,0.0117,2.23,0.08,2.3953,0.0079,14.89,0.27,0.3565,0.0066,1.23,0.04,2.4544,0.0031,17.32,0.39,0.4251,0.0096,1.46,0.06
rijndael-encode,1.6234,0.0867,61.12,0.94,0.9923,0.0551,1.00,0.00,4.9169,0.0319,86.53,0.40,4.2548,0.0340,4.29,0.24,2.4148,0.0201,74.26,2.71,1.7932,0.0672,1.81,0.12,1.9401,0.0266,67.47,0.69,1.3090,0.0224,1.32,0.08
rijndael-decode,1.6304,0.0214,67.09,1.04,1.0938,0.0222,1.00,0.00,4.7256,0.0500,88.20,0.57,4.1679,0.0515,3.81,0.09,2.2914,0.0105,76.73,0.95,1.7583,0.0232,1.61,0.04,1.8591,0.0290,72.82,1.66,1.3538,0.0375,1.24,0.04
sha,1.1180,0.0075,27.08,0.70,0.3027,0.0081,1.00,0.00,2.1893,0.0267,59.49,1.51,1.3025,0.0367,4.30,0.17,1.4162,0.0410,37.76,0.45,0.5348,0.0167,1.77,0.07,1.2966,0.0231,32.88,0.86,0.4263,0.0135,1.41,0.06
adpcm-encode,0.5273,0.0160,89.71,0.56,0.4730,0.0146,1.00,0.00,1.2698,0.0029,95.67,0.21,1.2148,0.0039,2.57,0.08,0.5984,0.0028,90.83,0.65,0.5435,0.0046,1.15,0.04,0.5895,0.0022,91.06,0.47,0.5368,0.0034,1.13,0.04
adpcm-decode,0.3596,0.0224,88.90,0.65,0.3197,0.0200,1.00,0.00,1.1516,0.0248,96.33,0.30,1.1093,0.0241,3.47,0.23,0.4305,0.0174,90.17,0.75,0.3882,0.0160,1.21,0.09,0.3886,0.0120,90.45,0.52,0.3515,0.0111,1.10,0.08
stringsearch,7.0416,0.0869,22.58,0.49,1.5903,0.0398,1.00,0.00,9.4042,0.0685,43.21,0.13,4.0636,0.0321,2.56,0.07,7.6770,0.8260,25.32,5.66,1.9439,0.4820,1.22,0.30,6.9332,0.0450,22.77,0.37,1.5789,0.0278,0.99,0.03
blowfish-encode,0.7034,0.0035,27.38,0.53,0.1926,0.0038,1.00,0.00,0.9691,0.0042,46.94,0.76,0.4549,0.0076,2.36,0.06,0.8176,0.0034,37.69,0.96,0.3082,0.0079,1.60,0.05,0.7693,0.0029,34.18,0.90,0.2629,0.0070,1.37,0.05
blowfish-decode,0.7166,0.0243,27.08,0.80,0.1941,0.0087,1.00,0.00,0.9776,0.0151,45.97,2.29,0.4494,0.0235,2.32,0.16,0.8166,0.0029,37.95,0.85,0.3099,0.0070,1.60,0.08,0.7768,0.0166,34.12,0.73,0.2651,0.0080,1.37,0.07
