benchmarks,native,,,,,,,,QEMU,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,1.1318,0.0227,100.00,0.00,1.1318,0.0227,1.00,0.00,5.6340,0.0747,100.00,0.00,5.6340,0.0747,4.98,0.12
crc32,0.3229,0.0178,100.00,0.00,0.3229,0.0178,1.00,0.00,2.2031,0.0763,100.00,0.00,2.2031,0.0763,6.82,0.44
rijndael-encode,0.2982,0.0173,100.00,0.00,0.2982,0.0173,1.00,0.00,4.8823,0.0913,100.00,0.00,4.8823,0.0913,16.37,1.00
rijndael-decode,0.2813,0.0041,100.00,0.00,0.2813,0.0041,1.00,0.00,4.7405,0.0678,100.00,0.00,4.7405,0.0678,16.85,0.34
sha,0.2974,0.0052,100.00,0.00,0.2974,0.0052,1.00,0.00,2.1612,0.0329,100.00,0.00,2.1612,0.0329,7.27,0.17
adpcm-encode,0.2392,0.0062,100.00,0.00,0.2392,0.0062,1.00,0.00,0.4207,0.0040,100.00,0.00,0.4207,0.0040,1.76,0.05
adpcm-decode,0.1124,0.0064,100.00,0.00,0.1124,0.0064,1.00,0.00,0.3542,0.0036,100.00,0.00,0.3542,0.0036,3.15,0.18
stringsearch,1.3239,0.0094,100.00,0.00,1.3239,0.0094,1.00,0.00,16.1843,0.1650,100.00,0.00,16.1843,0.1650,12.22,0.15
blowfish-encode,0.1296,0.0131,100.00,0.00,0.1296,0.0131,1.00,0.00,0.6949,0.0165,100.00,0.00,0.6949,0.0165,5.36,0.56
blowfish-decode,0.1228,0.0030,100.00,0.00,0.1228,0.0030,1.00,0.00,0.7145,0.0350,100.00,0.00,0.7145,0.0350,5.82,0.32
basicmath,0.4304,0.0047,100.00,0.00,0.4304,0.0047,1.00,0.00,5.0163,0.0488,100.00,0.00,5.0163,0.0488,11.65,0.17
bitcount,0.1002,0.0046,100.00,0.00,0.1002,0.0046,1.00,0.00,0.7536,0.0070,100.00,0.00,0.7536,0.0070,7.52,0.35
fft-std,1.6311,0.0222,100.00,0.00,1.6311,0.0222,1.00,0.00,22.5458,0.0866,100.00,0.00,22.5458,0.0866,13.82,0.20
fft-inv,1.0454,0.0111,100.00,0.00,1.0454,0.0111,1.00,0.00,18.8864,0.1648,100.00,0.00,18.8864,0.1648,18.07,0.25
patricia,0.1235,0.0045,100.00,0.00,0.1235,0.0045,1.00,0.00,1.3827,0.0188,100.00,0.00,1.3827,0.0188,11.20,0.44
susan-smoothing,0.4782,0.0065,100.00,0.00,0.4782,0.0065,1.00,0.00,1.3320,0.0248,100.00,0.00,1.3320,0.0248,2.79,0.06
susan-edges,1.9810,0.0821,100.00,0.00,1.9810,0.0821,1.00,0.00,7.5142,0.1925,100.00,0.00,7.5142,0.1925,3.79,0.18
susan-corners,0.3974,0.0070,100.00,0.00,0.3974,0.0070,1.00,0.00,1.2893,0.0163,100.00,0.00,1.2893,0.0163,3.24,0.07
lame,0.2149,0.0044,100.00,0.00,0.2149,0.0044,1.00,0.00,7.7461,0.1635,100.00,0.00,7.7461,0.1635,36.04,1.06
