benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6575,0.0004,100.00,0.00,0.6575,0.0004,1.00,0.00,1.0912,0.0015,100.00,0.00,1.0912,0.0015,1.66,0.00,0.5893,0.0176,100.00,0.00,0.5893,0.0176,0.90,0.03,0.5847,0.0022,100.00,0.00,0.5847,0.0022,0.89,0.00
crc32,0.1753,0.0071,100.00,0.00,0.1753,0.0071,1.00,0.00,0.2036,0.0013,100.00,0.00,0.2036,0.0013,1.16,0.05,0.1715,0.0071,100.00,0.00,0.1715,0.0071,0.98,0.06,0.1674,0.0008,100.00,0.00,0.1674,0.0008,0.96,0.04
rijndael-encode,0.1608,0.0003,100.00,0.00,0.1608,0.0003,1.00,0.00,0.5409,0.0010,100.00,0.00,0.5409,0.0010,3.36,0.01,0.2129,0.0009,100.00,0.00,0.2129,0.0009,1.32,0.01,0.1726,0.0007,100.00,0.00,0.1726,0.0007,1.07,0.00
rijndael-decode,0.1594,0.0005,100.00,0.00,0.1594,0.0005,1.00,0.00,0.5248,0.0012,100.00,0.00,0.5248,0.0012,3.29,0.01,0.2060,0.0004,100.00,0.00,0.2060,0.0004,1.29,0.00,0.1700,0.0004,100.00,0.00,0.1700,0.0004,1.07,0.00
sha,0.1866,0.0004,100.00,0.00,0.1866,0.0004,1.00,0.00,0.2852,0.0014,100.00,0.00,0.2852,0.0014,1.53,0.01,0.2042,0.0017,100.00,0.00,0.2042,0.0017,1.09,0.01,0.2015,0.0013,100.00,0.00,0.2015,0.0013,1.08,0.01
adpcm-encode,0.1547,0.0014,100.00,0.00,0.1547,0.0014,1.00,0.00,0.1641,0.0005,100.00,0.00,0.1641,0.0005,1.06,0.01,0.1119,0.0016,100.00,0.00,0.1119,0.0016,0.72,0.01,0.1113,0.0004,100.00,0.00,0.1113,0.0004,0.72,0.01
adpcm-decode,0.0524,0.0004,100.00,0.00,0.0524,0.0004,1.00,0.00,0.1266,0.0004,100.00,0.00,0.1266,0.0004,2.42,0.02,0.0612,0.0001,100.00,0.00,0.0612,0.0001,1.17,0.01,0.0606,0.0058,100.00,0.00,0.0606,0.0058,1.16,0.11
stringsearch,0.8815,0.0117,100.00,0.00,0.8815,0.0117,1.00,0.00,2.0601,0.0159,100.00,0.00,2.0601,0.0159,2.34,0.04,0.9910,0.0025,100.00,0.00,0.9910,0.0025,1.12,0.02,1.0235,0.0018,100.00,0.00,1.0235,0.0018,1.16,0.02
blowfish-encode,0.0693,0.0013,100.00,0.00,0.0693,0.0013,1.00,0.00,0.0922,0.0007,100.00,0.00,0.0922,0.0007,1.33,0.03,0.0729,0.0004,100.00,0.00,0.0729,0.0004,1.05,0.02,0.0683,0.0010,100.00,0.00,0.0683,0.0010,0.99,0.02
blowfish-decode,0.0686,0.0004,100.00,0.00,0.0686,0.0004,1.00,0.00,0.0945,0.0007,100.00,0.00,0.0945,0.0007,1.38,0.01,0.0737,0.0004,100.00,0.00,0.0737,0.0004,1.07,0.01,0.0683,0.0009,100.00,0.00,0.0683,0.0009,1.00,0.01
basicmath,0.2753,0.0017,100.00,0.00,0.2753,0.0017,1.00,0.00,0.2751,0.0009,100.00,0.00,0.2751,0.0009,1.00,0.01,0.2740,0.0008,100.00,0.00,0.2740,0.0008,0.99,0.01,0.2736,0.0008,100.00,0.00,0.2736,0.0008,0.99,0.01
bitcount,0.0616,0.0015,100.00,0.00,0.0616,0.0015,1.00,0.00,0.0784,0.0009,100.00,0.00,0.0784,0.0009,1.27,0.03,0.1045,0.0012,100.00,0.00,0.1045,0.0012,1.70,0.04,0.0485,0.0001,100.00,0.00,0.0485,0.0001,0.79,0.02
fft-std,1.0208,0.0047,100.00,0.00,1.0208,0.0047,1.00,0.00,1.0557,0.0006,100.00,0.00,1.0557,0.0006,1.03,0.00,1.0272,0.0054,100.00,0.00,1.0272,0.0054,1.01,0.01,1.0328,0.0171,100.00,0.00,1.0328,0.0171,1.01,0.02
fft-inv,0.6948,0.0010,100.00,0.00,0.6948,0.0010,1.00,0.00,0.7351,0.0036,100.00,0.00,0.7351,0.0036,1.06,0.01,0.7017,0.0014,100.00,0.00,0.7017,0.0014,1.01,0.00,0.6986,0.0007,100.00,0.00,0.6986,0.0007,1.01,0.00
patricia,0.0695,0.0004,100.00,0.00,0.0695,0.0004,1.00,0.00,0.0708,0.0001,100.00,0.00,0.0708,0.0001,1.02,0.01,0.0699,0.0004,100.00,0.00,0.0699,0.0004,1.00,0.01,0.0699,0.0004,100.00,0.00,0.0699,0.0004,1.01,0.01
susan-smoothing,0.2761,0.0006,100.00,0.00,0.2761,0.0006,1.00,0.00,0.8398,0.0213,100.00,0.00,0.8398,0.0213,3.04,0.08,0.3228,0.0016,100.00,0.00,0.3228,0.0016,1.17,0.01,0.2808,0.0011,100.00,0.00,0.2808,0.0011,1.02,0.00
susan-edges,1.1388,0.0175,100.00,0.00,1.1388,0.0175,1.00,0.00,2.4237,0.0094,100.00,0.00,2.4237,0.0094,2.13,0.03,1.3568,0.0123,100.00,0.00,1.3568,0.0123,1.19,0.02,1.3919,0.0125,100.00,0.00,1.3919,0.0125,1.22,0.02
susan-corners,0.2314,0.0017,100.00,0.00,0.2314,0.0017,1.00,0.00,0.4957,0.0051,100.00,0.00,0.4957,0.0051,2.14,0.03,0.2972,0.0043,100.00,0.00,0.2972,0.0043,1.28,0.02,0.2908,0.0104,100.00,0.00,0.2908,0.0104,1.26,0.05
lame,0.1275,0.0008,100.00,0.00,0.1275,0.0008,1.00,0.00,0.2196,0.0002,100.00,0.00,0.2196,0.0002,1.72,0.01,0.1819,0.0005,100.00,0.00,0.1819,0.0005,1.43,0.01,0.1403,0.0006,100.00,0.00,0.1403,0.0006,1.10,0.01
