benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6612,0.0030,92.16,0.42,0.6094,0.0040,1.00,0.00,1.1016,0.0073,95.23,0.24,1.0491,0.0075,1.72,0.02,0.5792,0.0021,91.60,0.69,0.5306,0.0044,0.87,0.01,0.5837,0.0018,91.26,0.85,0.5327,0.0052,0.87,0.01
crc32,0.1734,0.0004,17.37,1.69,0.0301,0.0029,1.00,0.00,0.2056,0.0025,22.39,1.06,0.0460,0.0023,1.53,0.17,0.1728,0.0025,17.16,1.39,0.0297,0.0024,0.98,0.13,0.1685,0.0008,13.60,0.92,0.0229,0.0015,0.76,0.09
rijndael-encode,0.1620,0.0017,59.29,2.33,0.0961,0.0039,1.00,0.00,0.5533,0.0108,87.19,0.58,0.4825,0.0100,5.02,0.23,0.2164,0.0025,68.36,1.74,0.1479,0.0041,1.54,0.08,0.1778,0.0038,60.12,1.80,0.1069,0.0039,1.11,0.06
rijndael-decode,0.1609,0.0024,61.14,1.47,0.0984,0.0028,1.00,0.00,0.5285,0.0055,87.31,0.73,0.4615,0.0061,4.69,0.15,0.2105,0.0030,66.79,1.86,0.1406,0.0044,1.43,0.06,0.1711,0.0007,59.62,2.15,0.1020,0.0037,1.04,0.05
sha,0.1864,0.0006,25.38,1.15,0.0473,0.0021,1.00,0.00,0.2855,0.0024,50.66,2.17,0.1447,0.0063,3.06,0.19,0.2044,0.0009,32.89,2.18,0.0672,0.0045,1.42,0.11,0.2065,0.0061,31.39,1.00,0.0648,0.0028,1.37,0.09
adpcm-encode,0.1565,0.0020,92.88,0.81,0.1453,0.0023,1.00,0.00,0.1704,0.0063,92.88,0.55,0.1583,0.0060,1.09,0.04,0.1134,0.0016,89.72,1.09,0.1017,0.0019,0.70,0.02,0.1148,0.0032,89.60,1.64,0.1029,0.0034,0.71,0.03
adpcm-decode,0.0531,0.0009,83.14,4.18,0.0441,0.0023,1.00,0.00,0.1300,0.0030,92.51,0.87,0.1203,0.0030,2.73,0.16,0.0619,0.0009,85.22,1.92,0.0527,0.0014,1.20,0.07,0.0583,0.0008,84.68,2.76,0.0494,0.0017,1.12,0.07
stringsearch,0.8819,0.0063,9.50,0.46,0.0838,0.0041,1.00,0.00,2.0657,0.0060,62.03,0.55,1.2814,0.0119,15.29,0.76,0.9914,0.0035,23.34,0.76,0.2314,0.0076,2.76,0.16,1.0228,0.0030,23.72,0.56,0.2426,0.0057,2.90,0.16
blowfish-encode,0.0684,0.0001,43.69,2.55,0.0299,0.0017,1.00,0.00,0.0922,0.0003,54.06,2.97,0.0498,0.0027,1.67,0.13,0.0729,0.0003,46.54,2.55,0.0339,0.0019,1.13,0.09,0.0682,0.0003,45.08,3.12,0.0307,0.0021,1.03,0.09
blowfish-decode,0.0682,0.0001,43.44,2.60,0.0296,0.0018,1.00,0.00,0.0945,0.0006,54.12,2.87,0.0511,0.0027,1.73,0.14,0.0737,0.0003,47.93,3.52,0.0353,0.0026,1.19,0.11,0.0697,0.0044,44.47,1.91,0.0310,0.0024,1.05,0.10
