benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6582,0.0013,92.17,0.49,0.6066,0.0035,1.00,0.00,1.0912,0.0008,95.34,0.38,1.0404,0.0042,1.71,0.01,0.5783,0.0024,91.26,0.83,0.5278,0.0053,0.87,0.01,0.5840,0.0022,91.60,0.56,0.5350,0.0039,0.88,0.01
crc32,0.1737,0.0017,17.00,1.03,0.0295,0.0018,1.00,0.00,0.2045,0.0041,21.52,1.68,0.0440,0.0035,1.49,0.15,0.1708,0.0019,17.13,1.36,0.0293,0.0023,0.99,0.10,0.1685,0.0019,13.02,0.97,0.0220,0.0016,0.74,0.07
rijndael-encode,0.1897,0.0023,62.53,1.77,0.1186,0.0037,1.00,0.00,0.5488,0.0079,86.99,0.67,0.4774,0.0078,4.03,0.14,0.2146,0.0019,67.36,1.45,0.1446,0.0034,1.22,0.05,0.1779,0.0046,60.90,1.83,0.1083,0.0043,0.91,0.05
rijndael-decode,0.1802,0.0008,62.78,1.30,0.1131,0.0024,1.00,0.00,0.5334,0.0062,87.09,0.74,0.4645,0.0067,4.11,0.11,0.2114,0.0045,67.68,1.45,0.1431,0.0043,1.26,0.05,0.1760,0.0051,61.10,2.67,0.1075,0.0056,0.95,0.05
sha,0.1950,0.0048,28.87,2.04,0.0563,0.0042,1.00,0.00,0.2855,0.0017,50.83,1.17,0.1451,0.0035,2.58,0.20,0.2045,0.0008,31.68,1.63,0.0648,0.0033,1.15,0.10,0.2073,0.0046,31.06,1.40,0.0644,0.0032,1.14,0.10
adpcm-encode,0.1565,0.0026,92.58,1.24,0.1449,0.0031,1.00,0.00,0.1674,0.0040,93.45,1.43,0.1565,0.0044,1.08,0.04,0.1121,0.0004,89.94,1.32,0.1008,0.0015,0.70,0.02,0.1119,0.0004,90.93,1.54,0.1017,0.0018,0.70,0.02
adpcm-decode,0.0524,0.0004,82.78,2.16,0.0434,0.0012,1.00,0.00,0.1274,0.0009,92.73,1.57,0.1181,0.0022,2.72,0.09,0.0620,0.0006,86.82,1.63,0.0538,0.0011,1.24,0.04,0.0583,0.0006,85.42,2.44,0.0498,0.0015,1.15,0.05
stringsearch,1.0575,0.0106,24.18,0.50,0.2557,0.0058,1.00,0.00,2.0787,0.0138,61.60,0.57,1.2805,0.0145,5.01,0.13,1.0073,0.0148,23.71,0.75,0.2388,0.0083,0.93,0.04,1.0004,0.0058,23.56,0.80,0.2357,0.0081,0.92,0.04
blowfish-encode,0.0694,0.0015,43.99,2.37,0.0305,0.0018,1.00,0.00,0.0928,0.0009,54.62,2.14,0.0507,0.0020,1.66,0.12,0.0733,0.0004,46.23,2.92,0.0339,0.0021,1.11,0.10,0.0730,0.0058,42.88,3.20,0.0313,0.0034,1.02,0.13
blowfish-decode,0.0689,0.0015,45.81,1.27,0.0316,0.0011,1.00,0.00,0.0953,0.0016,53.96,2.20,0.0514,0.0023,1.63,0.09,0.0739,0.0007,46.89,2.92,0.0346,0.0022,1.10,0.08,0.0706,0.0038,43.68,3.67,0.0308,0.0031,0.98,0.10
basicmath,0.2749,0.0008,2.98,0.44,0.0082,0.0012,1.00,0.00,0.2833,0.0081,3.23,0.37,0.0091,0.0011,1.11,0.21,0.2768,0.0031,3.39,0.65,0.0094,0.0018,1.14,0.28,0.2788,0.0054,3.19,0.34,0.0089,0.0010,1.08,0.20
bitcount,0.0636,0.0016,99.58,0.80,0.0634,0.0016,1.00,0.00,0.0791,0.0017,99.80,0.23,0.0789,0.0017,1.25,0.04,0.1050,0.0011,99.67,0.37,0.1046,0.0012,1.65,0.05,0.0497,0.0040,99.73,0.37,0.0496,0.0040,0.78,0.07
fft-std,1.0199,0.0015,4.77,0.28,0.0486,0.0028,1.00,0.00,1.0620,0.0067,8.46,0.18,0.0899,0.0020,1.85,0.11,1.0284,0.0049,5.53,0.31,0.0569,0.0032,1.17,0.09,1.0273,0.0058,5.39,0.30,0.0554,0.0031,1.14,0.09
