benchmarks,globals,,locals,,abi,
name,x,xsd,x,xsd,x,xsd
dijkstra,2.23,0.04,1.10,0.01,1.10,0.01
crc32,1.94,0.22,1.31,0.20,1.02,0.11
rijndael-enc,1.81,0.36,1.64,0.40,1.01,0.14
rijndael-dec,1.64,0.31,1.41,0.27,1.00,0.18
sha,1.24,0.10,1.19,0.10,1.11,0.11
adpcm-enc,1.13,0.03,1.16,0.02,1.02,0.02
adpcm-dec,1.12,0.03,1.01,0.03,1.02,0.04
stringsearch,1.09,0.06,1.00,0.05,1.00,0.05
blowfish-enc,1.33,0.11,1.29,0.14,1.02,0.08
blowfish-dec,1.33,0.12,1.29,0.12,1.02,0.09
basicmath,1.29,0.31,1.31,0.26,1.22,0.29
bitcount,2.67,0.05,2.28,0.03,1.26,0.07
fft-std,1.30,0.09,1.25,0.10,1.21,0.09
fft-inv,1.31,0.09,1.25,0.10,1.21,0.09
patricia,11.49,0.47,1.12,0.38,1.20,0.51
susan-smooth,1.02,0.01,0.80,0.02,0.83,0.01
susan-edges,1.34,0.02,1.23,0.02,1.08,0.01
susan-corners,1.13,0.01,1.11,0.03,1.04,0.01
lame,1.23,0.03,1.20,0.09,1.02,0.02
geomean,1.41,0.07,1.23,0.07,1.07,0.06
