benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6586,0.0019,92.01,0.57,0.6061,0.0041,1.00,0.00,1.0961,0.0104,95.14,0.47,1.0429,0.0112,1.72,0.02,0.5790,0.0024,91.21,0.82,0.5281,0.0052,0.87,0.01,0.5849,0.0038,91.45,0.48,0.5349,0.0045,0.88,0.01
crc32,0.1753,0.0068,16.77,1.55,0.0294,0.0029,1.00,0.00,0.2026,0.0015,22.70,1.81,0.0460,0.0037,1.56,0.20,0.1693,0.0005,16.72,1.86,0.0283,0.0031,0.96,0.14,0.1701,0.0066,13.30,1.15,0.0226,0.0021,0.77,0.11
rijndael-encode,0.1886,0.0013,61.95,2.25,0.1168,0.0043,1.00,0.00,0.5418,0.0020,87.20,0.74,0.4725,0.0044,4.04,0.15,0.2125,0.0012,68.69,1.56,0.1460,0.0034,1.25,0.05,0.1721,0.0004,61.09,1.36,0.1051,0.0023,0.90,0.04
rijndael-decode,0.1800,0.0010,63.10,2.10,0.1136,0.0038,1.00,0.00,0.5281,0.0055,87.09,0.58,0.4600,0.0057,4.05,0.15,0.2073,0.0035,67.35,1.56,0.1396,0.0040,1.23,0.05,0.1713,0.0007,60.55,1.84,0.1037,0.0032,0.91,0.04
sha,0.1907,0.0004,28.02,1.44,0.0534,0.0028,1.00,0.00,0.2844,0.0010,50.69,1.59,0.1442,0.0045,2.70,0.16,0.2044,0.0014,31.63,1.51,0.0647,0.0031,1.21,0.09,0.2039,0.0013,31.18,2.00,0.0636,0.0041,1.19,0.10
adpcm-encode,0.1536,0.0002,92.65,0.62,0.1423,0.0010,1.00,0.00,0.1639,0.0005,93.98,1.03,0.1540,0.0017,1.08,0.01,0.1112,0.0003,90.99,1.51,0.1011,0.0017,0.71,0.01,0.1112,0.0005,90.73,1.50,0.1009,0.0017,0.71,0.01
adpcm-decode,0.0523,0.0007,83.67,1.62,0.0438,0.0010,1.00,0.00,0.1267,0.0004,92.99,0.96,0.1178,0.0013,2.69,0.07,0.0613,0.0003,85.32,1.68,0.0523,0.0011,1.20,0.04,0.0579,0.0006,85.89,3.21,0.0497,0.0019,1.14,0.05
stringsearch,1.0492,0.0126,24.02,0.61,0.2520,0.0071,1.00,0.00,2.0666,0.0097,61.92,0.39,1.2796,0.0100,5.08,0.15,0.9979,0.0131,23.78,0.39,0.2373,0.0050,0.94,0.03,1.0002,0.0112,23.36,0.78,0.2337,0.0082,0.93,0.04
blowfish-encode,0.0688,0.0007,44.02,2.94,0.0303,0.0020,1.00,0.00,0.0923,0.0003,53.61,1.75,0.0495,0.0016,1.63,0.12,0.0718,0.0001,47.51,3.36,0.0341,0.0024,1.13,0.11,0.0680,0.0003,42.71,2.97,0.0291,0.0020,0.96,0.09
blowfish-decode,0.0683,0.0003,45.11,2.49,0.0308,0.0017,1.00,0.00,0.0938,0.0004,54.85,3.10,0.0514,0.0029,1.67,0.13,0.0735,0.0008,47.52,2.32,0.0349,0.0017,1.13,0.08,0.0680,0.0005,45.15,2.72,0.0307,0.0019,1.00,0.08
